experiment           solve_time_init      solve_time_final    solve_time    pos_cost_avg    ang_cost_avg
-------------------  -----------------  ------------------  ------------  --------------  --------------
10_shinkyu2                                          0.141         0.141           2.011           9.744
11_shinkyu3-1                                        0.135         0.135           1.831           0.000
12_shinkyu3-2                                        0.105         0.105           1.500           0.000
1_line_to_L                                          0.120         0.120           1.008           0.000
2_T_to_block                                         0.132         0.132           9.224           0.000
3_line_to_block                                      0.126         0.126           3.272           0.000
4_line_to_L_2                                        0.120         0.120           1.596           9.744
5_U_to_block                                         0.110         0.110           5.166          38.977
6_line_to_block_2                                    0.156         0.156           4.932           0.000
7_triangle_to_block                                  0.098         0.098          49.150           0.000
8_past                                               0.077         0.077          13.381           0.000
9_shinkyu1                                           0.118         0.118           1.465           0.000
