experiment             solve_time_init    solve_time_final    solve_time    pos_cost_avg    ang_cost_avg
-------------------  -----------------  ------------------  ------------  --------------  --------------
10_shinkyu2                      0.229               0.040         0.269           0.382           5.049
11_shinkyu3-1                    0.242               0.028         0.270           0.377           0.000
12_shinkyu3-2                    0.222               0.033         0.255           0.263           0.000
1_line_to_L                      0.193               0.028         0.221           0.707           0.000
2_T_to_block                     0.289               0.023         0.311           0.727           0.000
3_line_to_block                  0.229               0.034         0.263           0.316           0.000
4_line_to_L_2                    0.201               0.040         0.241           0.521           6.467
5_U_to_block                     0.093               0.044         0.137           0.478          17.447
6_line_to_block_2                0.180               0.030         0.210           0.509           0.000
7_triangle_to_block              0.164               0.087         0.251           0.300           0.000
8_past                           0.171               0.019         0.190           0.296           0.000
9_shinkyu1                       0.243               0.038         0.281           0.275           0.000
