experiment           solve_time_init      solve_time_final    solve_time    pos_cost_avg    ang_cost_avg
-------------------  -----------------  ------------------  ------------  --------------  --------------
10_shinkyu2                                          0.221         0.221           0.404           5.049
11_shinkyu3-1                                        0.238         0.238           0.425           0.000
12_shinkyu3-2                                        0.209         0.209           0.306           0.000
1_line_to_L                                          0.204         0.204           0.828           0.000
2_T_to_block                                         0.294         0.294           0.373           0.000
3_line_to_block                                      0.211         0.211           0.276           0.000
4_line_to_L_2                                        0.198         0.198           0.589           6.467
5_U_to_block                                         0.089         0.089           0.341          16.793
6_line_to_block_2                                    0.170         0.170           0.364           0.000
7_triangle_to_block                                  0.050         0.050           0.356           0.000
8_past                                               0.112         0.112           0.301           0.000
9_shinkyu1                                           0.237         0.237           0.327           0.000
